band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,2023-05-19,wspr_2023-05-19_20m.parquet,PA3CJP,37,40,3,108,107,0.9907407407407407,0.9907407407407407,-0.3333333333333333,-11.0,319,497,>-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,PA3CJP,37,47,10,108,141,1.3055555555555556,1.3055555555555556,3.3,-11.0,319,370,>-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,PA3CJP,40,47,7,107,141,1.3177570093457944,1.3177570093457944,4.857142857142857,-10.0,497,370,>-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,QK2ZAW,3,10,7,29,27,0.9310344827586207,0.9310344827586207,-0.2857142857142857,-20.0,29,27,-22..-20
20m,2023-05-19,wspr_2023-05-19_20m.parquet,VE7APF,30,37,7,33,263,7.96969696969697,7.96969696969697,32.857142857142854,-7.0,35,5822,>-15
20m,2023-05-19,wspr_2023-05-19_20m.parquet,YO3GND,40,43,3,78,116,1.4871794871794872,1.4871794871794872,12.666666666666666,-11.0,199,116,>-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,AJ1Z,40,43,3,64,85,1.328125,1.328125,7.0,-12.0,64,85,>-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,DG9ME,40,43,3,84,91,1.0833333333333333,1.0833333333333333,2.3333333333333335,-12.0,295,239,>-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,DH0NAE,30,33,3,18,12,0.6666666666666666,0.6666666666666666,-2.0,-24.0,48,24,-26..-24
20m,2023-05-20,wspr_2023-05-20_20m.parquet,EI7CLB,30,37,7,19,38,2.0,2.0,2.7142857142857144,-18.0,53,77,-20..-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,F4JJD/P,27,37,10,41,32,0.7804878048780488,0.7804878048780488,-0.9,-11.5,56,32,>-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,KC0USO,27,30,3,14,57,4.071428571428571,4.071428571428571,14.333333333333334,-23.0,16,65,-24..-22
20m,2023-05-20,wspr_2023-05-20_20m.parquet,M0RBD,30,33,3,98,69,0.7040816326530612,0.7040816326530612,-9.666666666666666,-17.0,360,69,-20..-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,N3NQP,37,40,3,75,80,1.0666666666666667,1.0666666666666667,1.6666666666666667,-15.0,132,158,-20..-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,NK3H,33,37,4,69,127,1.8405797101449275,1.8405797101449275,14.5,-13.0,97,524,>-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,NU7B,33,40,7,49,52,1.0612244897959184,1.0612244897959184,0.42857142857142855,-20.0,65,84,-22..-20
20m,2023-05-20,wspr_2023-05-20_20m.parquet,PA3GHJ,30,37,7,13,134,10.307692307692308,10.307692307692308,17.285714285714285,-19.0,13,370,-20..-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,VE3RRN,20,30,10,18,25,1.3888888888888888,1.3888888888888888,0.7,-24.0,24,40,-26..-24
20m,2023-05-20,wspr_2023-05-20_20m.parquet,VE7WEX,33,37,4,28,24,0.8571428571428571,0.8571428571428571,-1.0,-10.5,28,24,>-15
20m,2023-05-20,wspr_2023-05-20_20m.parquet,W8OQ,30,37,7,87,91,1.0459770114942528,1.0459770114942528,0.5714285714285714,-17.0,123,91,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,AG6NO,33,37,4,85,200,2.3529411764705883,2.3529411764705883,28.75,-14.0,144,3081,>-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,DM8TE,30,37,7,11,15,1.3636363636363635,1.3636363636363635,0.5714285714285714,-16.0,18,30,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,F4ZZZ,30,37,7,24,14,0.5833333333333334,0.5833333333333334,-1.4285714285714286,-3.0,24,14,>-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,HA7CS,37,47,10,29,69,2.3793103448275863,2.3793103448275863,4.0,-8.0,32,69,>-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,IW1GFN,30,33,3,38,34,0.8947368421052632,0.8947368421052632,-1.3333333333333333,-17.0,56,52,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,K4IQJ,23,30,7,149,14,0.09395973154362416,0.09395973154362416,-19.285714285714285,-17.0,728,14,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,KE5ES,30,37,7,84,28,0.3333333333333333,0.3333333333333333,-8.0,-12.0,149,28,>-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,KF7YWH,37,43,6,45,105,2.3333333333333335,2.3333333333333335,10.0,-14.0,45,179,>-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,KG6NLW,30,37,7,27,27,1.0,1.0,0.0,-22.0,45,52,-24..-22
20m,2023-05-21,wspr_2023-05-21_20m.parquet,KJ7JNK,33,43,10,80,45,0.5625,0.5625,-3.5,-16.5,160,45,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,KR1KZZ,30,37,7,20,44,2.2,2.2,3.4285714285714284,-19.5,20,44,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,M7DIP,33,40,7,73,105,1.4383561643835616,1.4383561643835616,4.571428571428571,-16.0,119,292,-20..-15
20m,2023-05-21,wspr_2023-05-21_20m.parquet,N3AGE,23,30,7,24,55,2.2916666666666665,2.2916666666666665,4.428571428571429,-17.0,2410,165,-20..-15
