band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
40m,2023-06-22,wspr_2023-06-22_40m.parquet,MR0JBA,10,13,3,15,52,3.466666666666667,3.466666666666667,12.333333333333334,-24.5,102,373,-26..-24
40m,2023-06-22,wspr_2023-06-22_40m.parquet,SV8FET,17,20,3,153,148,0.9673202614379085,0.9673202614379085,-1.6666666666666667,-17.0,1963,1190,-20..-15
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,10,13,3,11,10,0.9090909090909091,0.9090909090909091,-0.3333333333333333,-23.0,11,16,-24..-22
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,10,17,7,11,19,1.7272727272727273,1.7272727272727273,1.1428571428571428,-23.0,11,40,-24..-22
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,10,20,10,11,67,6.090909090909091,6.090909090909091,5.6,-23.0,11,198,-24..-22
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,13,17,4,10,19,1.9,1.9,2.25,-24.0,16,40,-26..-24
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,13,20,7,10,67,6.7,6.7,8.142857142857142,-24.0,16,198,-26..-24
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,13,23,10,10,101,10.1,10.1,9.1,-24.0,16,1000,-26..-24
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,17,20,3,19,67,3.526315789473684,3.526315789473684,16.0,-24.0,40,198,-26..-24
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,17,23,6,19,101,5.315789473684211,5.315789473684211,13.666666666666666,-24.0,40,1000,-26..-24
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,17,27,10,19,74,3.8947368421052633,3.8947368421052633,5.5,-24.0,40,246,-26..-24
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,20,23,3,67,101,1.507462686567164,1.507462686567164,11.333333333333334,-23.0,198,1000,-24..-22
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,20,27,7,67,74,1.1044776119402986,1.1044776119402986,1.0,-23.0,198,246,-24..-22
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DG8GAD,23,27,4,101,74,0.7326732673267327,0.7326732673267327,-6.75,-24.0,1000,246,-26..-24
40m,2023-06-23,wspr_2023-06-23_40m.parquet,DL3EL,20,30,10,81,153,1.8888888888888888,1.8888888888888888,7.2,-12.5,100,742,>-15
40m,2023-06-23,wspr_2023-06-23_40m.parquet,F6KPL,20,30,10,91,243,2.67032967032967,2.67032967032967,15.2,-21.0,715,5735,-22..-20
40m,2023-06-23,wspr_2023-06-23_40m.parquet,IU4QSM,37,40,3,42,31,0.7380952380952381,0.7380952380952381,-3.6666666666666665,-15.0,61,31,-20..-15
40m,2023-06-23,wspr_2023-06-23_40m.parquet,IW1QLH,17,27,10,105,63,0.6,0.6,-4.2,-22.0,1617,177,-24..-22
40m,2023-06-23,wspr_2023-06-23_40m.parquet,K3JYD,23,30,7,155,144,0.9290322580645162,0.9290322580645162,-1.5714285714285714,-12.0,3775,418,>-15
40m,2023-06-23,wspr_2023-06-23_40m.parquet,K3JYD,30,37,7,144,171,1.1875,1.1875,3.857142857142857,-11.5,418,281,>-15
40m,2023-06-23,wspr_2023-06-23_40m.parquet,KI6BZP,30,37,7,124,121,0.9758064516129032,0.9758064516129032,-0.42857142857142855,-15.0,2004,1088,-20..-15
40m,2023-06-23,wspr_2023-06-23_40m.parquet,KI6BZP,30,40,10,124,122,0.9838709677419355,0.9838709677419355,-0.2,-15.0,2004,490,-20..-15
40m,2023-06-23,wspr_2023-06-23_40m.parquet,KI6BZP,37,40,3,121,122,1.0082644628099173,1.0082644628099173,0.3333333333333333,-10.0,1088,490,>-15
40m,2023-06-23,wspr_2023-06-23_40m.parquet,MR0JBA,10,13,3,8,32,4.0,4.0,8.0,-22.0,28,119,-24..-22
40m,2023-06-23,wspr_2023-06-23_40m.parquet,NI5F,30,37,7,1,281,281.0,20.0,40.0,-14.0,11,9147,>-15
40m,2023-06-23,wspr_2023-06-23_40m.parquet,PD4BA,30,33,3,36,148,4.111111111111111,4.111111111111111,37.333333333333336,-22.0,36,1684,-24..-22
40m,2023-06-23,wspr_2023-06-23_40m.parquet,WA7ARK,3,13,10,55,34,0.6181818181818182,0.6181818181818182,-2.1,-21.0,947,938,-22..-20
40m,2023-06-23,wspr_2023-06-23_40m.parquet,WB5SRK,33,43,10,133,122,0.9172932330827067,0.9172932330827067,-1.1,-12.0,1375,751,>-15
40m,2023-06-24,wspr_2023-06-24_40m.parquet,DG8GAD,17,20,3,34,36,1.0588235294117647,1.0588235294117647,0.6666666666666666,-21.0,61,89,-22..-20
40m,2023-06-24,wspr_2023-06-24_40m.parquet,DG8GAD,17,23,6,34,109,3.2058823529411766,3.2058823529411766,12.5,-21.0,61,1654,-22..-20
40m,2023-06-24,wspr_2023-06-24_40m.parquet,DG8GAD,17,27,10,34,84,2.4705882352941178,2.4705882352941178,5.0,-21.0,61,336,-22..-20
40m,2023-06-24,wspr_2023-06-24_40m.parquet,DG8GAD,20,23,3,36,109,3.0277777777777777,3.0277777777777777,24.333333333333332,-22.0,89,1654,-24..-22
40m,2023-06-24,wspr_2023-06-24_40m.parquet,DG8GAD,20,27,7,36,84,2.3333333333333335,2.3333333333333335,6.857142857142857,-22.0,89,336,-24..-22
40m,2023-06-24,wspr_2023-06-24_40m.parquet,DG8GAD,23,27,4,109,84,0.7706422018348624,0.7706422018348624,-6.25,-23.0,1654,336,-24..-22
40m,2023-06-24,wspr_2023-06-24_40m.parquet,DK9PA,20,30,10,39,65,1.6666666666666667,1.6666666666666667,2.6,-19.0,83,102,-20..-15
40m,2023-06-24,wspr_2023-06-24_40m.parquet,F6KPL,20,30,10,126,248,1.9682539682539681,1.9682539682539681,12.2,-20.0,877,6130,-22..-20
40m,2023-06-24,wspr_2023-06-24_40m.parquet,IW1QLH,17,27,10,122,53,0.4344262295081967,0.4344262295081967,-6.9,-22.0,1773,247,-24..-22
40m,2023-06-24,wspr_2023-06-24_40m.parquet,K3JYD,20,23,3,139,139,1.0,1.0,0.0,-13.0,3317,1156,>-15
40m,2023-06-24,wspr_2023-06-24_40m.parquet,KC1FOL,33,37,4,33,34,1.0303030303030303,1.0303030303030303,0.25,-13.0,197,82,>-15
40m,2023-06-24,wspr_2023-06-24_40m.parquet,KK7KSC,30,33,3,24,43,1.7916666666666667,1.7916666666666667,6.333333333333333,-13.5,40,104,>-15
40m,2023-06-24,wspr_2023-06-24_40m.parquet,NI5F,30,37,7,1,345,345.0,20.0,49.142857142857146,-19.0,11,9916,-20..-15
40m,2023-06-24,wspr_2023-06-24_40m.parquet,UX5DH,7,10,3,36,166,4.611111111111111,4.611111111111111,43.333333333333336,-25.0,77,2283,-26..-24
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DB1MIC,30,33,3,200,140,0.7,0.7,-20.0,-6.0,1381,655,>-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DG8GAD,17,20,3,59,61,1.0338983050847457,1.0338983050847457,0.6666666666666666,-23.0,75,158,-24..-22
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DG8GAD,17,23,6,59,127,2.152542372881356,2.152542372881356,11.333333333333334,-23.0,75,1972,-24..-22
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DG8GAD,17,27,10,59,82,1.3898305084745763,1.3898305084745763,2.3,-23.0,75,314,-24..-22
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DG8GAD,20,23,3,61,127,2.081967213114754,2.081967213114754,22.0,-21.0,158,1972,-22..-20
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DG8GAD,20,27,7,61,82,1.3442622950819672,1.3442622950819672,3.0,-21.0,158,314,-22..-20
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DG8GAD,23,27,4,127,82,0.6456692913385826,0.6456692913385826,-11.25,-23.0,1972,314,-24..-22
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DH2FAZ,33,37,4,135,150,1.1111111111111112,1.1111111111111112,3.75,-8.5,188,217,>-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DK9PA,20,23,3,114,133,1.1666666666666667,1.1666666666666667,6.333333333333333,-20.0,666,1011,-22..-20
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DK9PA,20,27,7,114,82,0.7192982456140351,0.7192982456140351,-4.571428571428571,-20.0,666,127,-22..-20
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DK9PA,20,30,10,114,112,0.9824561403508771,0.9824561403508771,-0.2,-20.0,666,271,-22..-20
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DK9PA,23,27,4,133,82,0.6165413533834586,0.6165413533834586,-12.75,-19.0,1011,127,-20..-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DK9PA,23,30,7,133,112,0.8421052631578947,0.8421052631578947,-3.0,-19.0,1011,271,-20..-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DK9PA,27,30,3,82,112,1.3658536585365855,1.3658536585365855,10.0,-16.0,127,271,-20..-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DL3EL,20,30,10,161,48,0.2981366459627329,0.2981366459627329,-11.3,-12.0,679,80,>-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,DL7HSN,43,47,4,26,24,0.9230769230769231,0.9230769230769231,-0.5,-16.0,49,128,-20..-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,F6KPL,20,30,10,114,247,2.1666666666666665,2.1666666666666665,13.3,-20.0,732,5257,-22..-20
40m,2023-06-25,wspr_2023-06-25_40m.parquet,IU4QSM,37,47,10,156,142,0.9102564102564102,0.9102564102564102,-1.4,-5.0,438,142,>-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,IW1QLH,17,27,10,126,53,0.42063492063492064,0.42063492063492064,-7.3,-21.0,1789,180,-22..-20
40m,2023-06-25,wspr_2023-06-25_40m.parquet,K4IZZ,37,43,6,226,99,0.43805309734513276,0.43805309734513276,-21.166666666666668,-10.0,1012,99,>-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,NI5F,30,37,7,1,329,329.0,20.0,46.857142857142854,-17.0,14,9658,-20..-15
40m,2023-06-25,wspr_2023-06-25_40m.parquet,UX5DH,7,10,3,18,31,1.7222222222222223,1.7222222222222223,4.333333333333333,-25.5,32,43,-26..-24
