band,day,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,rx_ratio_clipped,log_rx_gain_per_db,delta_rx_per_db,start_snr,reports_lo,reports_hi
10m,2023-06-25,wspr_2023-06-25_10m.parquet,DL1EHW,23,30,7,5,14,2.8,2.8,0.14708848816873688,1.2857142857142858,-2.0,14,81
10m,2023-06-25,wspr_2023-06-25_10m.parquet,DL3IAD,37,40,3,8,10,1.25,1.25,0.07438118377140325,0.6666666666666666,-17.0,14,26
10m,2023-06-25,wspr_2023-06-25_10m.parquet,DL6NL,20,30,10,1,73,73.0,20.0,0.4290459441148391,7.2,-25.0,15,1371
10m,2023-06-25,wspr_2023-06-25_10m.parquet,EA5IHM,33,37,4,43,51,1.186046511627907,1.186046511627907,0.04265637925769086,2.0,-17.0,43,107
10m,2023-06-25,wspr_2023-06-25_10m.parquet,EA6TF,30,37,7,94,44,0.46808510638297873,0.46808510638297873,-0.10844359262167753,-7.142857142857143,-16.0,556,202
10m,2023-06-25,wspr_2023-06-25_10m.parquet,M1DRK,17,23,6,1,12,12.0,12.0,0.41415110829800006,1.8333333333333333,-28.0,19,24
10m,2023-06-25,wspr_2023-06-25_10m.parquet,OK2SAM,27,30,3,7,1,0.14285714285714285,0.14285714285714285,-0.6486367163517711,-2.0,-23.5,20,22
10m,2023-07-17,wspr_2023-07-17_10m.parquet,KD5DFL,23,27,4,27,23,0.8518518518518519,0.8518518518518519,-0.04008566251879484,-1.0,-20.0,106,81
10m,2023-07-17,wspr_2023-07-17_10m.parquet,WB3HNW,40,47,7,23,9,0.391304347826087,0.391304347826087,-0.13403851979899004,-2.0,-19.0,135,25
10m,2023-07-19,wspr_2023-07-19_10m.parquet,KL3WX,37,43,6,19,47,2.473684210526316,2.473684210526316,0.15095143709060302,4.666666666666667,-18.0,32,64
10m,2023-07-20,wspr_2023-07-20_10m.parquet,KD6FOZ,37,40,3,18,20,1.1111111111111112,1.1111111111111112,0.03512017188594212,0.6666666666666666,-19.0,32,29
10m,2023-07-21,wspr_2023-07-21_10m.parquet,KD5JRW,43,47,4,32,27,0.84375,0.84375,-0.04247475919884937,-1.25,-19.0,150,27
10m,2023-07-21,wspr_2023-07-21_10m.parquet,R2BIY,30,37,7,11,13,1.1818181818181819,1.1818181818181819,0.023864869237595177,0.2857142857142857,-19.5,18,20
10m,2023-07-21,wspr_2023-07-21_10m.parquet,R2BIY,30,40,10,11,11,1.0,1.0,0.0,0.0,-19.5,18,11
10m,2023-07-21,wspr_2023-07-21_10m.parquet,R2BIY,37,40,3,13,11,0.8461538461538461,0.8461538461538461,-0.05568469488772207,-0.6666666666666666,-20.0,20,11
10m,2023-07-21,wspr_2023-07-21_10m.parquet,R2BIY,37,43,6,13,21,1.6153846153846154,1.6153846153846154,0.07992884671031437,1.3333333333333333,-20.0,20,21
10m,2023-07-21,wspr_2023-07-21_10m.parquet,R2BIY,40,43,3,11,21,1.9090909090909092,1.9090909090909092,0.21554238830835082,3.3333333333333335,-14.0,11,21
10m,2023-07-22,wspr_2023-07-22_10m.parquet,DD0MS,30,37,7,6,12,2.0,2.0,0.09902102579427789,0.8571428571428571,-25.0,54,23
10m,2023-07-22,wspr_2023-07-22_10m.parquet,KD6FOZ,37,40,3,24,9,0.375,0.375,-0.32694308433724206,-5.0,-16.5,88,24
10m,2023-07-23,wspr_2023-07-23_10m.parquet,KD6FOZ,37,40,3,18,11,0.6111111111111112,0.6111111111111112,-0.16415882836593135,-2.3333333333333335,-14.0,32,27
10m,2023-07-23,wspr_2023-07-23_10m.parquet,N1API,40,50,10,8,13,1.625,1.625,0.04855078157817008,0.5,-21.0,15,21
