band,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
20m,wspr_2023-05-19_20m.parquet,IU7RAL,33,40,7,99,64,0.6464646464646465,-5.0,-23.0,1255,139,-24..-22
20m,wspr_2023-05-19_20m.parquet,K1FQY/E,3,10,7,15,14,0.9333333333333333,-0.14285714285714285,-16.0,19,14,-20..-15
20m,wspr_2023-05-19_20m.parquet,K1FQY/E,10,13,3,14,30,2.142857142857143,5.333333333333333,-19.0,14,147,-20..-15
20m,wspr_2023-05-19_20m.parquet,K1FQY/E,13,17,4,30,36,1.2,1.5,-18.0,147,109,-20..-15
20m,wspr_2023-05-19_20m.parquet,K1FQY/E,17,20,3,36,37,1.0277777777777777,0.3333333333333333,-18.0,109,129,-20..-15
20m,wspr_2023-05-19_20m.parquet,K6EAU,40,43,3,32,142,4.4375,36.666666666666664,-22.0,39,1560,-24..-22
20m,wspr_2023-05-19_20m.parquet,KB4GM,17,20,3,1,1,1.0,0.0,-27.0,1,1,-28..-26
20m,wspr_2023-05-19_20m.parquet,KC0USO,27,30,3,35,4,0.11428571428571428,-10.333333333333334,-22.0,35,4,-24..-22
20m,wspr_2023-05-19_20m.parquet,KC1PHY,37,40,3,72,45,0.625,-9.0,-14.0,107,68,>-15
20m,wspr_2023-05-19_20m.parquet,N0RTB,23,27,4,188,1,0.005319148936170213,-46.75,-19.0,13285,1,-20..-15
20m,wspr_2023-05-19_20m.parquet,N5ODX,27,37,10,173,62,0.3583815028901734,-11.1,-18.0,2425,254,-20..-15
20m,wspr_2023-05-19_20m.parquet,N6YWU,10,20,10,2,15,7.5,1.3,-25.0,2,15,-26..-24
20m,wspr_2023-05-19_20m.parquet,N8NJ,27,30,3,55,272,4.945454545454545,72.33333333333333,-15.0,71,2828,-20..-15
20m,wspr_2023-05-19_20m.parquet,NU7B,37,40,3,24,15,0.625,-3.0,-20.0,24,15,-22..-20
20m,wspr_2023-05-19_20m.parquet,OH8GKP,33,37,4,8,25,3.125,4.25,-18.0,14,1892,-20..-15
20m,wspr_2023-05-19_20m.parquet,PA3CJP,37,40,3,108,107,0.9907407407407407,-0.3333333333333333,-11.0,319,497,>-15
20m,wspr_2023-05-19_20m.parquet,PA3CJP,40,47,7,107,141,1.3177570093457944,4.857142857142857,-10.0,497,370,>-15
20m,wspr_2023-05-19_20m.parquet,QK2ZAW,3,10,7,29,27,0.9310344827586207,-0.2857142857142857,-20.0,29,27,-22..-20
20m,wspr_2023-05-19_20m.parquet,QK2ZMG,0,7,7,7,35,5.0,4.0,-9.0,7,35,>-15
20m,wspr_2023-05-19_20m.parquet,VE7APF,30,37,7,33,263,7.96969696969697,32.857142857142854,-7.0,35,5822,>-15
20m,wspr_2023-05-19_20m.parquet,YO3GND,40,43,3,78,116,1.4871794871794872,12.666666666666666,-11.0,199,116,>-15
20m,wspr_2023-05-20_20m.parquet,AJ1Z,40,43,3,64,85,1.328125,7.0,-12.0,64,85,>-15
20m,wspr_2023-05-20_20m.parquet,DG9ME,40,43,3,84,91,1.0833333333333333,2.3333333333333335,-12.0,295,239,>-15
20m,wspr_2023-05-20_20m.parquet,DH0NAE,30,33,3,18,12,0.6666666666666666,-2.0,-24.0,48,24,-26..-24
20m,wspr_2023-05-20_20m.parquet,EI7CLB,30,37,7,19,38,2.0,2.7142857142857144,-18.0,53,77,-20..-15
20m,wspr_2023-05-20_20m.parquet,EI7JR,17,23,6,1,204,204.0,33.833333333333336,-19.0,1,2368,-20..-15
20m,wspr_2023-05-20_20m.parquet,F4JJD/P,27,37,10,41,32,0.7804878048780488,-0.9,-11.5,56,32,>-15
20m,wspr_2023-05-20_20m.parquet,G1MUM,10,13,3,12,1,0.08333333333333333,-3.6666666666666665,-21.0,45,1,-22..-20
20m,wspr_2023-05-20_20m.parquet,KC0USO,27,30,3,14,57,4.071428571428571,14.333333333333334,-23.0,16,65,-24..-22
20m,wspr_2023-05-20_20m.parquet,M0RBD,30,33,3,98,69,0.7040816326530612,-9.666666666666666,-17.0,360,69,-20..-15
20m,wspr_2023-05-20_20m.parquet,N3NQP,37,40,3,75,80,1.0666666666666667,1.6666666666666667,-15.0,132,158,-20..-15
20m,wspr_2023-05-20_20m.parquet,NK3H,33,37,4,69,127,1.8405797101449275,14.5,-13.0,97,524,>-15
20m,wspr_2023-05-20_20m.parquet,NU7B,33,37,4,49,9,0.1836734693877551,-10.0,-20.0,65,9,-22..-20
20m,wspr_2023-05-20_20m.parquet,NU7B,37,40,3,9,52,5.777777777777778,14.333333333333334,-20.0,9,84,-22..-20
20m,wspr_2023-05-20_20m.parquet,ON4WS,27,30,3,172,1,0.005813953488372093,-57.0,-17.0,1912,1,-20..-15
20m,wspr_2023-05-20_20m.parquet,PA0ANH,27,37,10,1,38,38.0,3.7,-17.0,1,141,-20..-15
20m,wspr_2023-05-20_20m.parquet,PA3GHJ,30,37,7,13,134,10.307692307692308,17.285714285714285,-19.0,13,370,-20..-15
20m,wspr_2023-05-20_20m.parquet,VE3RRN,20,30,10,18,25,1.3888888888888888,0.7,-24.0,24,40,-26..-24
20m,wspr_2023-05-20_20m.parquet,VE7WEX,33,37,4,28,24,0.8571428571428571,-1.0,-10.5,28,24,>-15
20m,wspr_2023-05-20_20m.parquet,W6KAP,23,27,4,7,2,0.2857142857142857,-1.25,-23.0,7,2,-24..-22
20m,wspr_2023-05-20_20m.parquet,W6KAP,27,30,3,2,20,10.0,6.0,-15.5,2,27,-20..-15
20m,wspr_2023-05-20_20m.parquet,W8OQ,30,37,7,87,91,1.0459770114942528,0.5714285714285714,-17.0,123,91,-20..-15
20m,wspr_2023-05-21_20m.parquet,AG6NO,33,37,4,85,200,2.3529411764705883,28.75,-14.0,144,3081,>-15
20m,wspr_2023-05-21_20m.parquet,DL1FX,20,23,3,120,1,0.008333333333333333,-39.666666666666664,-15.0,1790,1,-20..-15
20m,wspr_2023-05-21_20m.parquet,DL2NGT,17,20,3,6,1,0.16666666666666666,-1.6666666666666667,-26.0,9,1,-28..-26
20m,wspr_2023-05-21_20m.parquet,DM8TE,30,37,7,11,15,1.3636363636363635,0.5714285714285714,-16.0,18,30,-20..-15
20m,wspr_2023-05-21_20m.parquet,F4ZZZ,30,37,7,24,14,0.5833333333333334,-1.4285714285714286,-3.0,24,14,>-15
20m,wspr_2023-05-21_20m.parquet,F6KOP,23,27,4,143,1,0.006993006993006993,-35.5,-15.0,2611,1,-20..-15
20m,wspr_2023-05-21_20m.parquet,HA7CS,37,47,10,29,69,2.3793103448275863,4.0,-8.0,32,69,>-15
20m,wspr_2023-05-21_20m.parquet,IW1GFN,30,33,3,38,34,0.8947368421052632,-1.3333333333333333,-17.0,56,52,-20..-15
20m,wspr_2023-05-21_20m.parquet,K3RWR,20,23,3,1,146,146.0,48.333333333333336,-34.0,1,1196,≤-30
20m,wspr_2023-05-21_20m.parquet,K4IQJ,23,30,7,149,14,0.09395973154362416,-19.285714285714285,-17.0,728,14,-20..-15
20m,wspr_2023-05-21_20m.parquet,KD9HUR,33,37,4,43,1,0.023255813953488372,-10.5,-16.0,43,1,-20..-15
20m,wspr_2023-05-21_20m.parquet,KE5ES,30,37,7,84,28,0.3333333333333333,-8.0,-12.0,149,28,>-15
20m,wspr_2023-05-21_20m.parquet,KF7YWH,37,43,6,45,105,2.3333333333333335,10.0,-14.0,45,179,>-15
20m,wspr_2023-05-21_20m.parquet,KG6NLW,30,37,7,27,27,1.0,0.0,-22.0,45,52,-24..-22
20m,wspr_2023-05-21_20m.parquet,KJ7JNK,33,43,10,80,45,0.5625,-3.5,-16.5,160,45,-20..-15
20m,wspr_2023-05-21_20m.parquet,KR1KZZ,30,37,7,20,44,2.2,3.4285714285714284,-19.5,20,44,-20..-15
20m,wspr_2023-05-21_20m.parquet,M7DIP,33,40,7,73,105,1.4383561643835616,4.571428571428571,-16.0,119,292,-20..-15
20m,wspr_2023-05-21_20m.parquet,N3AGE,23,30,7,24,55,2.2916666666666665,4.428571428571429,-17.0,2410,165,-20..-15
20m,wspr_2023-05-21_20m.parquet,N6YWU,20,30,10,4,27,6.75,2.3,-23.0,5,64,-24..-22
20m,wspr_2023-05-21_20m.parquet,N8PES,40,43,3,80,73,0.9125,-2.3333333333333335,-18.5,80,73,-20..-15
20m,wspr_2023-05-21_20m.parquet,NK3H,33,37,4,188,60,0.3191489361702128,-32.0,-9.0,1884,60,>-15
20m,wspr_2023-05-21_20m.parquet,OK2SAM,27,30,3,1,129,129.0,42.666666666666664,-23.0,1,1906,-24..-22
20m,wspr_2023-05-21_20m.parquet,ON4WS,20,27,7,1,113,113.0,16.0,-16.0,1,1749,-20..-15
20m,wspr_2023-05-21_20m.parquet,OZ1IDG,33,37,4,1,241,241.0,60.0,-16.0,1,2494,-20..-15
20m,wspr_2023-05-21_20m.parquet,PA3GHJ,27,33,6,5,3,0.6,-0.3333333333333333,-23.0,5,3,-24..-22
20m,wspr_2023-05-21_20m.parquet,PA3GHJ,33,37,4,3,59,19.666666666666668,14.0,-13.0,3,203,>-15
20m,wspr_2023-05-21_20m.parquet,QK2ZOL,13,17,4,16,16,1.0,0.0,-21.0,16,21,-22..-20
20m,wspr_2023-05-21_20m.parquet,SM6VNO,33,37,4,26,31,1.1923076923076923,1.25,-18.0,26,31,-20..-15
20m,wspr_2023-05-21_20m.parquet,VE7BEH,30,37,7,18,46,2.5555555555555554,4.0,-15.5,18,103,-20..-15
20m,wspr_2023-05-21_20m.parquet,VE7BEH,37,43,6,46,38,0.8260869565217391,-1.3333333333333333,-20.0,103,76,-22..-20
20m,wspr_2023-06-15_20m.parquet,2E0OUE,37,47,10,9,22,2.4444444444444446,1.3,-17.0,9,33,-20..-15
20m,wspr_2023-06-15_20m.parquet,AC6RB/A,0,3,3,5,3,0.6,-0.6666666666666666,-25.0,14,8,-26..-24
20m,wspr_2023-06-15_20m.parquet,AH6CY,23,30,7,61,10,0.16393442622950818,-7.285714285714286,-21.0,283,19,-22..-20
