band,file,tx_sign,p_lo,p_hi,delta_power,rx_lo,rx_hi,rx_ratio,delta_rx_per_db,start_snr,reports_lo,reports_hi,snr_bin
40m,wspr_2023-06-24_40m.parquet,F6KPL,20,30,10,126,248,1.9682539682539681,12.2,-20.0,877,6130,-22..-20
40m,wspr_2023-06-24_40m.parquet,G8LDJ,30,37,7,162,1,0.006172839506172839,-23.0,-15.0,3409,2,-20..-15
40m,wspr_2023-06-24_40m.parquet,IW1QLH,17,27,10,122,53,0.4344262295081967,-6.9,-22.0,1773,247,-24..-22
40m,wspr_2023-06-24_40m.parquet,K3JYD,20,23,3,139,139,1.0,0.0,-13.0,3317,1156,>-15
40m,wspr_2023-06-24_40m.parquet,KC1FOL,33,37,4,33,34,1.0303030303030303,0.25,-13.0,197,82,>-15
40m,wspr_2023-06-24_40m.parquet,KK7KSC,30,33,3,24,43,1.7916666666666667,6.333333333333333,-13.5,40,104,>-15
40m,wspr_2023-06-24_40m.parquet,M0WVE,33,37,4,1,163,163.0,40.5,-10.0,1,1727,>-15
40m,wspr_2023-06-24_40m.parquet,NI5F,30,37,7,1,345,345.0,49.142857142857146,-19.0,11,9916,-20..-15
40m,wspr_2023-06-24_40m.parquet,UX5DH,7,10,3,36,166,4.611111111111111,43.333333333333336,-25.0,77,2283,-26..-24
40m,wspr_2023-06-25_40m.parquet,DB1MIC,30,33,3,200,140,0.7,-20.0,-6.0,1381,655,>-15
40m,wspr_2023-06-25_40m.parquet,DG8GAD,17,20,3,59,61,1.0338983050847457,0.6666666666666666,-23.0,75,158,-24..-22
40m,wspr_2023-06-25_40m.parquet,DG8GAD,20,23,3,61,127,2.081967213114754,22.0,-21.0,158,1972,-22..-20
40m,wspr_2023-06-25_40m.parquet,DG8GAD,23,27,4,127,82,0.6456692913385826,-11.25,-23.0,1972,314,-24..-22
40m,wspr_2023-06-25_40m.parquet,DH2FAZ,33,37,4,135,150,1.1111111111111112,3.75,-8.5,188,217,>-15
40m,wspr_2023-06-25_40m.parquet,DK9PA,20,23,3,114,133,1.1666666666666667,6.333333333333333,-20.0,666,1011,-22..-20
40m,wspr_2023-06-25_40m.parquet,DK9PA,23,27,4,133,82,0.6165413533834586,-12.75,-19.0,1011,127,-20..-15
40m,wspr_2023-06-25_40m.parquet,DK9PA,27,30,3,82,112,1.3658536585365855,10.0,-16.0,127,271,-20..-15
40m,wspr_2023-06-25_40m.parquet,DL3EL,20,30,10,161,48,0.2981366459627329,-11.3,-12.0,679,80,>-15
40m,wspr_2023-06-25_40m.parquet,DL7HSN,43,47,4,26,24,0.9230769230769231,-0.5,-16.0,49,128,-20..-15
40m,wspr_2023-06-25_40m.parquet,F6KPL,20,30,10,114,247,2.1666666666666665,13.3,-20.0,732,5257,-22..-20
40m,wspr_2023-06-25_40m.parquet,G8LDJ,30,37,7,188,1,0.005319148936170213,-26.714285714285715,-15.0,4839,1,-20..-15
40m,wspr_2023-06-25_40m.parquet,IU4QSM,37,47,10,156,142,0.9102564102564102,-1.4,-5.0,438,142,>-15
40m,wspr_2023-06-25_40m.parquet,IW1QLH,17,27,10,126,53,0.42063492063492064,-7.3,-21.0,1789,180,-22..-20
40m,wspr_2023-06-25_40m.parquet,K4IZZ,37,43,6,226,99,0.43805309734513276,-21.166666666666668,-10.0,1012,99,>-15
40m,wspr_2023-06-25_40m.parquet,NI5F,30,37,7,1,329,329.0,46.857142857142854,-17.0,14,9658,-20..-15
40m,wspr_2023-06-25_40m.parquet,UX5DH,7,10,3,18,31,1.7222222222222223,4.333333333333333,-25.5,32,43,-26..-24
40m,wspr_2023-06-25_40m.parquet,UX5DH,30,37,7,39,2,0.05128205128205128,-5.285714285714286,-23.0,147,2,-24..-22
